Name,Summary
Bates Motel,"Bates Motel is a contemporary prequel to the genre-defining film Psycho, and gives viewers an intimate portrayal of how Norman Bates' psyche unravels through his teenage years.Following the tragic death of her husband, Norma Bates buys a motel on the outskirts of the idyllic coastal town of White Pine Bay, seeking a fresh start. As Norma and Norman get ensconced in their new home, they discover this town isn't quite what it seems, and the locals aren't so quick to let them in on their secrets. But the Bates' are done being pushed around and will do whatever it takes to survive - and will do whatever it takes to protect their own secrets."
Doc Martin,Successful surgeon Dr Martin Ellingham relocates to the seaside village of Portwenn in Cornwall; but his gruff demeanour and poor bedside manner bring him into conflict with the locals as he begins his new life as a GP.
Da Vinci's Demons,"In a world where thought and faith are controlled, one man fights to set knowledge free. Leonardo da Vinci is tortured by a gift of superhuman genius. He finds himself in a conflict between truth and lies, religion and reason, past and future. His aspirations are used against him by opposing forces – luring him into a game of seduction where those who despise his intellect need him most.His quest for knowledge nearly becomes his undoing, but da Vinci's genius prevails and he emerges as an unstoppable force that lifts an entire era out of darkness and propels it into light. His story becomes a mirror into our own world, calling us all to join his fight to free the future."
Good Eats,"Pop culture, comedy and plain good eating: host Alton Brown explores the origins of ingredients, decodes culinary customs, and presents food and equipment trends. Punctuated by unusual interludes, simple preparations and unconventional discussions, he'll bring you food in its finest and funniest form."
Raising Hope,"At 23 years old, Jimmy Chance is going nowhere in life. He skims pools for a living, parties every night and still lives at home with his family, including his parents and his cousin, Mike. Jimmy's life takes a drastic turn when a chance romantic encounter with Lucy goes awry once he discovers she is a wanted felon. Months later, when Jimmy pays a visit to the local prison, he discovers Lucy gave birth to their baby, who he is now charged with raising."
Rubicon,"Rubicon is a conspiracy thriller set in a NYC-based government intelligence agency, API, where nothing is what it seems. The series focuses on a beleaguered analyst, Will Travers, who, faced with a shocking tragedy, begins to uncover clues that point to a complex and sinister conspiracy."
That '70s Show,"Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric's basement, life in the ‘70s isn't always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they've learned one thing for sure: they'll always get by with a little help from their friends."
Olive Kitteridge,"Based on Elizabeth Strout's Pulitzer Prize-winning novel of the same name, Olive Kitteridge tells the poignantly sweet, acerbically funny and devastatingly tragic story of a seemingly placid New England town wrought with illicit affairs, crime and tragedy, told through the lens of a woman whose wicked wit and harsh demeanor mask a warm but troubled heart and a staunch moral center."
Kingdom,"Kingdom is a raw family drama set against the world of Mixed Martial Arts (MMA) in Venice, California. Alvey Kulina owns Navy St. MMA with the help of his girlfriend Lisa Prince. He is willing to go through extraordinary means to make sure his fighters are taken care of, but all of this responsibility comes at a steep price. He has complicated relationships with both of his sons, Jay and Nate, who are both struggling with their own identities and places within Alvey's life and gym."
"Dr. Oakley, Yukon Vet","In the frozen Yukon Territory in Northern Canada, you've got to be hearty and tough. You've got to expect solitude across frigid, remote landscapes with freezing temperatures, but even in the desolate wilderness you need a vet to help your ailing wiener dog. Enter Dr. Oakley, Yukon Vet, that follows the experienced Dr. Michelle Oakley, veterinarian, as she makes house calls across thousands of square miles in the Yukon. Helping many species of animals, including an angry muskox, a caribou with a tumor, a defensive mama lynx, and a grey owl with an amputated wing. Accompanied by her teenage daughters and armed with humor as sharp as a scalpel, Dr. Oakley deftly juggles being a full-time veterinarian, wife and mom while taking us into the isolated regions of the Yukon."
Murdoch Mysteries,"Set in Toronto at the dawn of the 20th century, Murdoch Mysteries is a one-hour drama series that explores the intriguing world of William Murdoch, a methodical and dashing detective who pioneers innovative forensic techniques to solve some of the city's most gruesome murders. Murdoch's colleagues include the love of his life, coroner and psychiatrist Dr. Julia Ogden, a staunch ally who shares the detective's fascination for science; Constable George Crabtree, Murdoch's eager but sometimes naïve right-hand man; Inspector Brackenreid, Murdoch's skeptical yet reluctantly supportive boss; and coroner Dr. Emily Grace, Dr. Ogden's protégé."
Rectify,Rectify is a haunting story of a man released from prison after spending nearly two decades on death row.
Boston Legal,"Sometimes irreverent and funny, sometimes intense and moving, Boston Legal prides itself on being at the forefront of issue-oriented television, often addressing issues that are underreported by the media. Fast-paced and wildly comedic, the series confronts social and moral issues, while its characters continually stretch the boundaries of the law."
Invader ZIM,"Invader ZIM is an eccentric alien soldier from the planet Irk. He was banished from the Irken Empire after nearly destroying his home planet on an early mission. After begging his superiors, the Almighty Tallest Red and Purple, for another chance, they decide to get rid of him once and for all. They trick him into going on a ""secret mission"" to an obscure planet at the edge of the universe, a planet with the unlikely name of Earth, in hopes that he'll die along the way. But their trick backfires when ZIM safely reaches Earth and begins his ever-so-subtle conquest of it. He disguises himself as a schoolboy, and now the only person who can stop him is one kid - Dib, a somewhat insane paranormal researcher, who sees straight through ZIM's disguise and is intent on stopping his reign of ""terror"". The only problem is that neither of them is very good at stopping the other."
Galavant,"Once upon a time, the dashing hero Galavant lost the love of his life, Madalena, to the evil King Richard. Now, our fallen hero is ready to take revenge and restore his ""happily ever after"". But it won't be without a few twists and turns along the way."
Monty Python's Flying Circus,"And now for something completely different: Monty Python's Flying Circus was simply the most influential comedy program television has ever seen. Five Englishmen, all working under the constraints of conventional TV shows such as The Frost Report (for which the five Englishmen wrote), gathered together with an expatriate American in the spring of 1969 to break the rules. The result, first airing on BBC-1 on October 5, 1969, has influenced countless future men and women in the media and comedy since."
Teen Wolf,"Always an outsider and often unnoticed, Scott McCall yearns to be recognized in some small way that takes him out of his typical state of high school anonymity. When his best friend, Stiles, convinces him to go into the woods one night to join a police search for a dead body, Scott encounters a creature in the darkness. Narrowly escaping an attack with a vicious bite in his side, the next day brings strange surprises for Scott at school and his life will never be the same.MTV's reboot of the classic 1980s cult movie Teen Wolf."
Twin Peaks,"Set in the fictional town of Twin Peaks in northeast Washington state, this is the story of FBI Special Agent Dale Cooper and his investigation of the murder of a popular local teenage schoolgirl, Laura Palmer."
Smallville,"A retelling of Superman's early days as teenager Clark Kent growing up in Smallville, Kansas. He is guided by his adopted parents Jonathan and Martha Kent.Friends and adversaries include Lana Lang, Chloe Sullivan, Pete Ross, Lois Lane and Lex Luthor and his father Lionel Luthor."
Veep,"Former Senator Selina Meyer has accepted the call to serve as Vice President of the United States. The job is nothing like she imagined and everything she was warned about. Veep follows Meyer and her staff as they attempt to make their mark and leave a lasting legacy, without getting tripped up in the day-to-day political games that define Washington."
Orange Is the New Black,"Orange Is the New Black is the story of Piper Chapman, a woman in her thirties who is sentenced to fifteen months in prison after being convicted of a decade-old crime of transporting money for her drug-dealing girlfriend."
The Glades,"In The Glades, Jim Longworth, is a brilliant homicide detective from Chicago who moves to South Florida after being shot by his captain. He assumes it will afford him a more relaxing lifestyle, but he finds things are more complicated than he had imagined when he finds himself solving unlikely crimes in the town of Palm Glade, Florida."
Sanctuary,"Sanctuary follows the adventures of the beautiful, enigmatic and always surprising Dr. Helen Magnus, a brilliant scientist who holds the secrets of a clandestine population and a group of strange and sometimes terrifying beings that hide among humans.Along with her new recruit, forensic psychiatrist Dr. Will Zimmerman, her quirky tech wiz Henry and her fearless daughter Ashley, Magnus seeks to protect this threatened phenomena as well as unlock the mysteries behind their existence."
The Comeback,"The limited comedy series stars Lisa Kudrow as the embattled Valerie Cherish, a fading TV ""It Girl"" who was once so desperate to stay in the spotlight that she allowed cameras to follow her every move as she appeared on a new sitcom - with disastrous results. Now, it's ten years later, and Valerie thinks she has it all figured out this time. She doesn't."
The Leftovers,"Three years after millions of people—some 2% of the world's population—vanished into thin air, residents of Mapleton, NY weigh the pros and cons of a ""Heroes Day"" tribute to the local ""Departed"". Attempting to maintain a sense of normalcy in his strained community, police chief Kevin Garvey faces additional challenges at home with his daughter, Jill, who's lost in a cloud of apathy with her friend Aimee, and son, Tom, who has gravitated to a cult led by the charismatic Holy Wayne. Also of concern is a silent, white-clad group of chain-smoking men and women called the Guilty Remnant, who team up in pairs to stake out people and places around town. As tension in Mapleton escalates, the lives of Laurie, an unexpected member of the Guilty Remnant, and Meg, a recently engaged young woman, converge."
Carnivàle,"Carnivàle is set in the United States during the Great Depression and Dust Bowl. In tracing the lives of two disparate groups of people, its overarching story depicts the battle between good and evil and the struggle between free will and destiny, the storyline mixes Christian theology with Gnosticism and Masonic lore, particularly that of the Knights Templar."
The 10th Kingdom,Mixing the universal themes of European folklore and mythology with a healthy dose of contemporary storytelling results in this fantastic fable in which two worlds come together for one fantastic adventure.
Human Target,"Christopher Chance is a unique private contractor/security expert/bodyguard hired when an unusual or imminent threat cannot be solved through normal means of protection. Chance works with his business partner and trusted friend, Winston, and hired gun, Guerrero, to integrate himself completely into his clients' lives and eliminate the threat by becoming the Human Target."
El Internado,"El Internado was a Spanish television drama thriller focusing on the students of a fictional boarding school in a forest, where teenagers are sent by their parents to study. The boarding school is situated in a forest far from the city, on the outskirts on which macabre events occur."
Sons of Liberty,"The three-night, six-hour event follows a defiant and radical group of young men - Sam Adams, John Adams, Paul Revere, John Hancock and Dr. Joseph Warren - as they band together in secrecy to change the course of history and make America a nation. The Sons of Liberty sparked a revolution, the cast depicting them includes: Ben Barnes as Sam Adams, a natural born leader with charisma and a penchant for mischief; Ryan Eggold as Dr. Joseph Warren, a doctor and man of conscience and integrity; Michael Raymond-James as Paul Revere, a veteran who wholeheartedly joins forces with Sam Adams; Rafe Spall as John Hancock, the wealthiest man in Boston at the time; and Henry Thomas as John Adams, a lawyer and the conservative, smart cousin of Sam Adams. Additionally, Marton Csokas plays the ferocious General Thomas Gage who is sent to handle the colonial unrest in Boston; Emily Berrington as Margaret Gage; Jason O'Mara as General George Washington and Dean Norris as the brilliant yet mischievous diplomat Benjamin Franklin."
Magic City,"Miami Beach, 1959.As Ike Evans rings in the New Year at his luxurious Miramar Playa Hotel, Havana falls to Castro's rebels. It's a turbulent time in Miami, but it's the place to be. The Kennedys, the mob and the CIA all hold court here. And Ike, he's the star of his hotel. But everything comes at a price. To finance his dream, he sold his soul to mob boss Ben ""The Butcher"" Diamond. Ike's wife Vera, a former showgirl, and his three kids think he's an honorable man, but he can't break his pact with the devil. His life is a façade. In fact, nothing at the Miramar Playa is what it seems. By day, it's diving clowns and cha-cha lessons. By night, escorts have secret liaisons with husbands in the family cabanas, while Miami's seedier residents and the law drift together to hear legendary singers, musicians and comics. As Ike's world threatens to implode, he fights for his family, and the Miramar Playa, in Magic City."
One Tree Hill,"One Tree Hill explores the delicate balance that contemporary young people face as they endeavor to build and define what their lives will be, while overcoming difficulties and embracing the good things that they sometimes take for granted. The series celebrates the most important things -- among them the quest for love, laughter, health, friends, career and family -- timeless pursuits that have always mattered, and matter still."
Inside No. 9,"An anthology of darkly comic twisted tales by Steve Pemberton and Reece Shearsmith, each one taking place behind a door marked 'number 9'."
Backstrom,"The series follows Detective Everett Backstrom, an unhealthy, offensive, irascible - albeit brilliant - detective who sees the worst in everyone, and he's usually right."
Smash,"The hit-making Broadway writing team of Julia Houston and Tom Levitt unites with producer Eileen Rand to create a new musical based on the life of Marilyn Monroe, and seasoned chorus girl Ivy Lynn vies with newcomer Karen Cartwright for the dream role."
Lucha Underground,"Lucha Underground, El Rey Network's addictive, lucha libre wrestling series from Emmy Award(R)-winning producer Mark Burnett, United Artists Media Group,Robert Rodriguez and FactoryMade Ventures will return for an all-new second season on Wednesday, January 27 at 8 PM ET/PT, it was announced today. The hour-long weekly series currently in production in Boyle Heights, CA, will continue to bring fans ringside for blood-pumping, chant-starting, fierce lucha libre drama and excitement as the masked heroes and villains battle it out for wrestling supremacy. Leading into the new season, El Rey Network offers fans a chance to get reacquainted with the luchadores, who combine ancient tradition with extraordinary athleticism, with five hours of back-to-back episodes from season one on Wednesdays at 8pm ET/PT beginning January 6th, culminating with an epic weekend long, 40-hour marathon of the entire season from Saturday, January 23rd at 10 AM ET, to Sunday, January 24th at 2 AM ET. ""Season two of 'Lucha Underground' absolutely stands on the shoulders of last season with even more excitement and high-flying drama than ever before,"" said El Rey Network Chairman and Founder Robert Rodriguez. ""Mark Burnett and his team have delivered a truly compelling series and we are proud to bring the ancient traditions of Luche Libre to life in an unexpected and action packed format that has become a favorite for wrestling fans everywhere."""
Emergency!,"Filmed in a semi-documentary style, Squad 51 takes on life-or-death challenges."
La Femme Nikita,"Framed for killing a cop, Nikita agrees to work for a secret government agency."
X-Men,"With stories adapted directly from the original comic books, this show is a piece of Marvel history and a must-have for every X-Men fan. Discover the origins of your favorite characters and uncover the secrets of Magneto and more of the world's most diabolical villains in X-Men.Due to budget issues and issues with animation production deadlines not been met most episodes from Season 3 onwards aired out of production order, leading to some storylines not making any sense and creating plot holes, however this was somewhat rectified later with the DVD and streaming releases."
Legend of the Seeker,"In a mythical land, one man, Richard Cypher, discovers his true destiny as he, a mysterious young woman, a wise old wizard and a magical sword are all that stand between the evil tyrant Darken Rahl and his quest for total domination.<br><br> Based on <i>The Sword of Truth</i> series of books by Terry Goodkind."
Nip/Tuck,"Two plastic surgeons who are close friends and business partners, own an overwhelmingly successful plastic surgery practice and attempt to bring inner peace and visceral contentment to their patients through external cosmetic procedures. Although their clients aspire to cover up their pain, it is the surgeons who truly wear the masks of anguish and unhappiness, sadness and disillusionment. For more than two decades, they have shared a love for the same woman, who despite being married to one, has loved both. And at midlife, the doctors question the prosperity that has brought them so much -- and has offered so little."
Moonlighting,"Maddie Hayes, a wealthy former model, discovers one morning that her business manager has stolen all the money she has in the bank. However, it turns out that she still owns some non-liquid assets -- money-losing companies which were maintained as tax write-offs -- one of which is a detective agency run by David Addison. Maddie meets with him to inform him that the company is to be shut down, but he persuades her to keep it open by convincing her that the detective agency can make money. Maddie becomes David's new boss and accompanies him on adventure after adventure. While their personalities clash, a sexual tension arises in the time they spend together. But the question always remains... will they or won't they?"
Sliders,"Brilliant grad student Quinn has created a device that opens a wormhole to an infinite number of parallel universes where history has taken different paths. His first test trip goes awry stranding his physics professor Arturo, his friend Wade, and bystander Rembrandt ""Crying Man"" Brown in parallel San Francisco. Now, this foursome of Sliders must travel from one alternate reality to another in the hope of somehow finding their way home."
Angels in America,"Al Pacino, Meryl Streep and Emma Thompson lead an all-star cast in an epic movie event directed Mike Nichols and screenplay by Tony Kushner based on his Pulitzer Prize-winning play: Angels in America."
The Fresh Prince of Bel-Air,"Will Smith plays a young man transplanted from the tough streets of Philadelphia to live with his wealthy Bel-Air relatives, causing everyone to adjust how they live and think."
NYPD Blue,The gritty details of life as a member of a New York City police unit.
Numb3rs,FBI Special Agent Don Eppes recruits his mathematical genius brother Charlie to help the Bureau solve a wide range of challenging crimes in Los Angeles. The two brothers take on the most confounding criminal cases from a very distinctive perspective. Dr. Larry Fleinhardt is Charlie's friend and colleague who urges Charlie to focus more on his university studies than on FBI business. Alan Eppes (Don and Charlie's father) is pleased to see his two sons working together but fears their competitive nature will lead to trouble.
The Avengers: Earth's Mightiest Heroes!,"When the planet is threatened by Super Villains, time-traveling conquerors, alien invaders, mythical monsters or mad robots bent on the total destruction of humanity; when the forces of evil are so overwhelming that no single hero has the power to save the world; when there is no hope left, the Avengers Assemble!"
Blood Ties,"After witnessing a horrific demonic murder at the side of a Toronto roadway, private investigator Vicki Nelson finds herself on a collision course with another citizen investigating the case. He is Henry Fitzroy – former Duke of Richmond, cutting-edge graphic novelist and 470-year old vampire.To solve the brutal murder, Vicky finds herself collaborating against her better judgment, with the suave and seductive Fitzroy. The relationship soon progresses beyond a pretty professional arrangement, complicating her long-term love affair with ex-partner Detective Mike Celluci...and pretty well everything else in her life.As the cases become more bizarre &amp; complex, the relationship between Vicki &amp; Mike becomes fractured. Meanwhile, Henry's behavior creates suspicion for all involved in the cases, casting doubt among the three."
Hunted,"Sam is a spy, a hunter who now finds herself hunted by a ruthless hidden enemy. Trapped in an intricate web of suspense and paranoia, she must discover who wants her dead by confronting her past."
ReGenesis,"Cloning, bioterrorism, genetic engineering, not since the atom bomb has science had such potential to change the world. Canada, Mexico, and the United States have created a trilateral taskforce, The North American Biotechnology Advisory Commission, or NorBAC, to investigate questionable advances in the fields of biotechnology, bio-weaponry and nanotechnology.Under the charismatic leadership of Chief Scientist David Sandstrom and Executive Director Caroline Morrison, the Toronto-based organisation struggles to understand the political, legal, and personal underbrush in which new science has become entangled."
Becker,"Becker centers on the life of Dr. John Becker, a cantankerous, yet dedicated and talented physician, who, in spite of his constant rants, has a decent heart underneath the sarcasm."
Curb Your Enthusiasm,"Curb Your Enthusiasm stars <i>Seinfeld</i> co-creator Larry David as himself in an unsparing but tongue-in-cheek depiction of his life. Shot in a verite style and featuring celebrities playing themselves, the episodes are improvised by the actors from an outline created by David."
Bunheads,"A former ballerina turned Vegas showgirl decides to take a gamble on a new marriage and a fresh start in Paradise, CA."
Man Down,"Comedy series written by and starring Greg Davies as Dan, a childish idiot whose world is on the brink of collapse."
Nikita,"When she was a deeply troubled teenager, Nikita was rescued from death row by a secret U.S. agency known only as Division, who trained her as a spy and assassin. Nikita was eventually betrayed by the only people she thought she could trust. Now, after three years in hiding, Nikita is seeking retribution and making it clear to her former boss, Percy and her former friends Michael and Birkhoff that she will stop at nothing to expose and destroy their covert operation."
Absolutely Fabulous,Award-winning comedy set in the world of fashion and PR with Jennifer Saunders as the immature fun-loving mother and Julia Sawalha as her sensible daughter.
Whitechapel,"Set against the contrasting facades of Whitechapel, London, a series of bloody, tragic and impossible crimes are carried out.A fast-tracked inspector, a hardened detective sergeant, and an expert in historical homicides investigate modern crimes with connections to the past in the Whitechapel district of London."
The White Queen,"The White Queen is a riveting portrayal of one of the most dramatic and turbulent times in English history. A story of love and lust, seduction and deception, betrayal and murder, it is uniquely told through the perspective of three different, yet equally relentless women - Elizabeth Woodville, Margaret Beaufort and Anne Neville. In their quest for power, they will scheme, manipulate and seduce their way onto the English throne.<br><br> The year is 1464, before the Tudor dynasty ruled the country, and war has been ravaging throughout England over who is the rightful King. It is a bitter dispute between two sides of the same family, The House of York and The House of Lancaster.<br><br> The House of York's young and handsome Edward IV is crowned King of England with the help of the master manipulator, Lord Warwick ""The Kingmaker."" But when Edward falls in love with a beautiful Lancastrian commoner, Elizabeth Woodville, Warwick's plan to control the throne comes crashing down.<br><br> A violent, high-stakes struggle ensues between Elizabeth, her most fierce adversary, Lancastrian Margaret Beaufort, and Anne Neville, the pawn in her father's power game - each woman vying for the crown."
House of Lies,"Charming, fast talking Marty Kaan and his crack team of management consultants know how to play the corporate game better than anyone, by using every dirty trick in the book to woo powerful CEOs and close huge deals. In the board rooms, barrooms, and bedrooms of the power elite, corruption is business as usual and everyone's out for themselves first. Nothing is sacred in this scathing, irreverent satire of corporate America today."
Episodes,"Matt LeBlanc stars as Matt LeBlanc in Episodes, the hilarious comedy series about remaking a comedy series. When husband and wife writing team Sean and Beverly set out to reproduce their British TV hit for an American network, all of their worst fears come true as Hollywood lives up to its reputation for absurdity. Not only does the network cast Matt LeBlanc in the starring role, but Matt takes the lead in deviously twisting their beloved series into a terrible cliché, while testing the couple's marriage with diversions and temptations."
Nurse Jackie,"Every day is a matter of life and death in a hectic New York City hospital, but for Nurse Jackie that's the easiest part. Between chronic back pain that won't quit, and a personal life on the constant edge of collapse, it's going to take a white lie here, a bent rule there, and a handful of secret strategies to relieve the pain, and stay one step ahead of total disaster."
V,"A year after Liberation Day, courtesy of the red-dust bacteria, the humanoid, lizard-like aliens develop a resistance to the micro-organism and try to regain control of the Earth--only now some humans are knowingly working with them."
Weeds,Weeds is based around an american widow (Nancy Botwin) with 2 children who begins selling cannabis for financial gain after the death of her husband. Her family become involved in more and more illegal activities as the show progresses.
The Pillars of the Earth,"The Pillars of the Earth is a sweeping epic of good and evil, treachery and intrigue, violence and beauty. This sensuous, spirited and passionate story is set against a backdrop of war, religious strife and power struggles which tears lives and families apart. In that time, there rises a magnificent Cathedral in Kingsbridge."
The Playboy Club,"The Playboy Club is a provocative drama about a time and place that challenged the social mores, where a visionary entrepreneur created an empire and an icon changed American culture. It's the early '60s, and the legendary Playboy Club in Chicago is the door to all of your fantasies -- and the key is the most sought-after status symbol of its kind. Inside the seductive world of the bunny, the epitome of beauty and service, the clientele rubs shoulders with the decade's biggest mobsters, politicos and entertainers."
Gold Rush,"Gold Rush follows six men who, in the face of an economic meltdown, risk everything - their families, their dignity, and in some cases, their lives - to strike it rich mining for gold in the wilds of Alaska. Inspired by his father Jack, Todd Hoffman of Sandy, Oregon, leads a group of greenhorn miners to forge a new frontier and save their families from dire straits. While leasing a gold claim in Alaska, Todd and his company of newbies face the grandeur of Alaska as well as its hardships, including an impending winter that will halt operations and the opportunity to strike gold. In an effort to keep the operation running, the team takes fate into their own hands with a make or break venture that will change their lives forever."
BoJack Horseman,"Meet the most beloved sitcom horse of the '90s, 20 years later. He's a curmudgeon with a heart of... not quite gold... but something like gold. Copper?"
Tru Calling,"What would you do if you could relive a day? If you're Tru Davies, you'd save lives."
Chowder,"Then show follows Chowder, a young chef in Mung Daal's catering company and his daily advantures."
Lab Rats,"Lab Rats introduces Leo just as he settles into the high-tech home he shares with his inventor stepdad, Donald Davenport, his mom, Tasha, and Eddy, the ""smart house"" computer. There he discovers a secret underground lab with three experiments, super-human teens: Adam the strong one, Bree the fast one and Chase the smart one. The trio, eager to leave their confines, convinces Leo and his parents to let them join him at school where they try to fit in while trying to manage their unpredictable bionic strengths. Along the way, they help Leo build self confidence while he figures out a way to keep their bionic abilities a secret from the world."
The Lying Game,"The Lying Game follows Emma, a kind-hearted foster kid who learns she has an identical twin sister, Sutton. Sutton, unlike Emma, was adopted by wealthy parents and is seemingly living an ideal life. After their initial meeting, Sutton talks Emma into stepping into her life for a few days while she pursues a lead on the mysterious identity of their birth mother. After Sutton inexplicably fails to return to the girls' designated meeting place, Emma must decide whether to come clean about her identity and risk her own safety in the hope of uncovering her twin sister's whereabouts, along with the truth about why they were separated in the first place."
The Dresden Files,"The Dresden Files chronicles the cases of no ordinary detective. Harry Dresden is a wizard, the only one listed in the Chicago phone book. He's got a handle on the crimes that can't be solved by anyone else. Paranormal? No problem. Dresden deals in all matters of supernatural threats. If you need a little hocus pocus or some other worldly advice, Dresden's your man."
Magnum P.I.,"Pursued by thugs and lovely ladies alike, Thomas Magnum is a witty but tough private investigator in Hawaii who works for a mysterious novelist."
Waking the Dead,Drama series following the members of a Cold Case investigation team as they use advanced forensic techniques to uncover the truth and bring criminals to justice.
Battlestar Galactica,"When the 12 Colonies of Man are wiped out by a cybernetic race called the Cylons, Commander Adama (Lorne Greene) and the crew of the battlestar Galactica lead a ragtag fleet of human survivors in search of a ""mythical planet"" called Earth."
Star Wars: Rebels,"Star Wars Rebels, set five years before the events of Star Wars: Episode IV - A New Hope, tells the story of the Rebellion's beginnings while the Empire spreads tyranny through the galaxy."
Dark Blue,"Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles."
The Riches,"Blackmail. Murder. And back to life in the RV. The Malloys, after successfully passing themselves off as ""The Riches,"" a yuppie family living in suburban America, face big trouble in Season Two. Wayne Malloy tries to clean up the mess in Eden Falls while his con artist family hits the road."
DreamWorks Dragons,"DreamWorks Dragons picks up where the critically-acclaimed feature film, <i>How to Train Your Dragon</i>, left off, this weekly animated series follows the continuing adventures of Hiccup and his dragon Toothless on the island of Berk, along with the band of dragon trainers, all of whom now have dragons of their own!<br /><br /> Through their training, the kids are finding out the cool things dragons can do. Not only will they learn more about their dragons, they'll also discover new ones and battle against enemies as they explore worlds they never dreamed existed."
Psychoville,"Psychoville is a BBC dark mystery psychological thriller television sit-com written by and starring The League of Gentlemen members Reece Shearsmith and Steve Pemberton. It debuted on BBC Two on 18 June 2009. Pemberton and Shearsmith each play numerous characters, with Dawn French and Jason Tompkins in additional starring roles. The first series was followed by a Halloween special, broadcast on 31 October 2010, which saw Imelda Staunton added to the main cast along with previously supporting actors Eileen Atkins and Daniel Kaluuya. The second series started broadcasting on 5 May 2011 and ended on 6 June. Reece Shearsmith has officially announced that there will not be a third series."
True Blood,"True Blood is a horror/drama based on a series of novels called <i>The Southern American Vampires Mysteries</i>. It focuses on Sookie Stackhouse and her various encounters with vampires and other supernatural beings. The show is centred in the small town of Bon Temps in Louisiana. The show focuses heavily on the co-existence of humans with vampires. The show also touches on several other controversial issues involving equal rights, violence, discrimination and religion."
Californication,Californication is a series based around the writer Hank Moody. He moves to California and suffers a writers block as well as many other family and personal issues. His drinking and generally unhealthy lifestyle interrupts his relationships with his long term lover Karen and his daughter Becca as he struggles with his manager Charlie Runkle.
Penoza,Housewife Carmen van Walraven is forced to take over her family's criminal business when her husband is assassinated for trying to snitch.
Sleeper Cell,"The controversial and unconventional drama delves into the harsh inner-workings of a Los Angeles-based Islamic terrorist cell headed by a charismatic and fanatical extremist (Fehr) and an Muslim undercover FBI agent (Ealy) who infiltrates it. Last year's mini-series featured a powerful and engrossing two-hour finale that will set the stage for the new Sleeper Cell, which will continue to combine timely, meticulously researched storylines and complex characters to create an entertaining and thought-provoking television event."
A Haunting,"""When the door between the spirit world and ours is opened, the stuff of nightmares becomes reality"". That's according to the introduction of this series, A Haunting, which dramatizes the ""true"" stories of people who have been haunted or experienced a haunting. In this docu-drama, the actual people involved recount their stories on-camera, as the frightening events of their stories are re-enacted...."
Parker Lewis Can't Lose,"For most teenagers, high school is filled with obstacles nearly impossible to traverse. But then there is Parker Lewis, the one teenager able to overcome any barrier with the use of his wits and the help of his best buds, rock n roller Mikey and their quintessential nerd assistant Jerry. Of course, that does not mean Principal Grace Musso will give up her attempts to foil the Buds' plans to maintain total coolness!"
The Paradise,An intoxicating love story set in England's first department store in the 1870s.
Chicago Fire,"No job is more stressful, dangerous or exhilarating than those of the Firefighters, Rescue Squad and Paramedics of Chicago Firehouse 51. These are the courageous men and women who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death. These are their stories."
The Vampire Diaries,The Vampire Diaries is a supernatural drama/romance based around Elena Gilbert who falls in love with a 163 year old vampire.Based on a novel series by L.J. Smith.
Combat Hospital,"The war zone of Southern Afghanistan is the workplace for the doctors, nurses and medics of the Role 3 Medical Unit, a Canadian-led NATO team delivering the highest level of care available in Kandahar. Leading the hospital staff on behalf of the Canadian forces is Col. Xavier Marks, a career military surgeon. His new recruits include Maj. Rebecca Gordon, a trauma surgeon who is eager to get noticed, and Capt. Bobby Trang, who is given a tough team leader assignment upon his arrival to the unit. Australian psychiatrist Maj. Grace Pedersen looks after the troops' mental well being, and Dr. Simon Hill is considered a brilliant neurosurgeon, although others wonder what the nonmilitary staffer was thinking when he volunteered to work in a war zone."
Hatfields & McCoys,"The Hatfield-McCoy saga begins with 'Devil' Anse Hatfield (Costner) and Randall McCoy (Paxton). Close friends and comrades during the Civil War, they returned to their neighboring homes - Hatfield in West Virginia, McCoy just across the Tug River border in Kentucky - to increasing tensions, misunderstandings and resentments that soon exploded into all-out warfare between the two families. As hostilities grew, friends, neighbors and outside forces joined the fight, bringing the two states to the brink of another Civil War."
The Royals,"The Royals is an hour-long drama centered on a fictional modern day royal family. Queen Helena and King Simon try to present an aura of class and grace to the public, but the truth of the family's life is much different, as tainted politics and family issues threaten to cause chaos and turmoil. The monarchs' rebellious daughter, Princess Eleanor, provides fodder for the tabloids with a life full of sex, drugs, and even hung-over helicopter rides. Her twin brother, Prince Liam, is a playboy who takes full advantage of being one of the planet's most eligible bachelors. It's a life Liam enjoys until his older brother -- and heir to the throne -- dies, making Liam next in line to inherit the throne. Power is everything, there are no limits, and trust is nonexistent for this royal family."
Enlisted,"A military-set family comedy, Enlisted centers on three brothers on a small Florida Army post and the group of misfits who surround them. Charming, funny and a natural-born leader Staff Sergeant Pete Hill was on a path for a huge military career until one mistake overseas got him booted stateside to Fort McGee, the post where his two younger brothers - Corporal Derrick Hill and Private Randy Hill are stationed."
